img_filename;PresentedImageSize_Width;PresentedImageSize_Height;pt0_x;pt0_y;pt1_x;pt1_y
img-2018-06-27T08-59-53devID2.jpg;1200.0;1200.0;641.0;955.40625;684.0;980.40625
img-2016-10-25T10-00-01devID2.jpg;1200.0;1200.0;412.0;976.40625;446.0;993.40625
img-2017-02-26T07-00-28devID2.jpg;1200.0;1200.0;630.0;389.40625;671.0;411.40625
img-2017-02-22T04-00-24devID2.jpg;1200.0;1200.0;943.0;893.40625;987.0;919.40625
img-2015-12-30T05-58-24devID2.jpg;1200.0;1200.0;977.0;197.40625;932.0;238.40625
img-2017-03-23T08-00-02devID1.jpg;1200.0;1200.0;460.0;1077.40625;494.0;1099.40625
img-2019-12-08T11-01-21devID1.jpg;1200.0;1200.0;1023.0;281.40625;939.0;331.40625
img-2017-02-18T06-01-50devID1.jpg;1200.0;1200.0;466.0;461.40625;514.0;488.40625
img-2019-12-18T12-58-21devID2.jpg;1200.0;1200.0;706.0;331.40625;780.0;375.40625
img-2017-03-04T05-59-19devID1.jpg;1200.0;1200.0;961.0;871.40625;1034.0;911.40625
img-2017-02-11T03-59-24devID2.jpg;1200.0;1200.0;340.0;758.40625;381.0;777.40625
img-2019-12-21T17-58-30devID1.jpg;1200.0;1200.0;270.0;263.40625;323.0;298.40625
img-2016-10-07T09-01-05devID1.jpg;1200.0;1200.0;141.0;696.40625;183.0;703.40625
img-2019-12-30T13-01-37devID2.jpg;1200.0;1200.0;729.0;614.40625;767.0;633.40625
img-2018-07-06T12-58-07devID2.jpg;1200.0;1200.0;879.0;748.40625;913.0;764.40625
img-2016-10-21T11-59-53devID1.jpg;1200.0;1200.0;444.0138854980469;506.43748474121094;423.0138854980469;468.43748474121094
img-2016-10-22T10-00-02devID1.jpg;1200.0;1200.0;224.01388549804688;466.43748474121094;248.01388549804688;514.4374847412109
img-2017-02-13T07-01-21devID1.jpg;1200.0;1200.0;603.0138854980469;474.3263854980469;644.0138854980469;499.3263854980469
img-2018-06-25T15-58-23devID2.jpg;1200.0;1200.0;1062.0138854980469;632.4374847412109;1075.0138854980469;648.4374847412109
img-2016-01-08T13-00-33devID2.jpg;1200.0;1200.0;144.01388549804688;658.4374847412109;179.01388549804688;695.4374847412109
img-2016-10-29T17-00-52devID1.jpg;1200.0;1200.0;925.0138854980469;685.6597232818604;957.0138854980469;703.6597232818604
img-2018-07-12T12-00-45devID2.jpg;1200.0;1200.0;841.0138854980469;861.6597232818604;861.0138854980469;888.6597232818604
